x1107,x1108,x1109,x1110,x1111,x1112,x1113,x1114,x1115,x1116,x1117,x1118,x1131,x1135,x1138
29,1,1,29,6,29,11,1,18,12,30,1,12,1,29
20,3,21,21,13,21,14,18,18,3,21,21,22,19,1
7,1,8,8,4,8,8,1,1,1,8,1,1,32,8
14,1,15,15,1,15,15,1,1,1,15,15,15,3,15
1,1,17,17,1,17,17,1,1,1,17,1,12,1,17
11,1,12,12,7,12,12,1,1,1,12,12,1,3,12
1,23,28,28,22,28,28,26,4,6,29,28,1,3,28
6,31,7,12,3,7,7,1,1,31,7,1,12,13,7
26,1,26,26,21,26,26,1,1,1,27,26,15,1,26
20,1,21,21,16,21,21,1,1,1,21,21,1,3,21
22,1,23,23,18,23,23,1,1,1,23,23,1,3,23
2,18,3,3,1,3,11,12,1,1,3,1,18,12,3
23,1,24,24,19,24,24,1,1,1,24,1,1,6,24
1,9,23,23,18,23,23,10,10,9,23,23,15,1,23
14,15,15,15,10,15,15,1,1,1,15,1,15,6,15
13,1,14,14,9,14,14,1,1,1,14,14,1,3,14
10,3,11,11,1,11,11,18,3,18,11,3,1,3,11
1,4,26,26,21,26,26,24,4,24,27,26,15,4,26
26,22,26,26,21,26,26,1,1,22,27,1,15,1,26
14,1,15,15,1,15,15,1,1,1,15,15,1,15,15
26,1,26,26,21,26,26,1,3,18,27,26,25,3,26
1,31,7,7,3,7,7,1,1,31,7,7,30,1,7
2,1,3,3,1,3,3,1,1,1,3,3,1,18,3
2,18,3,3,1,3,3,1,1,18,3,3,1,12,3
1,1,14,14,9,14,14,1,1,1,14,14,1,3,14
26,1,26,26,21,26,26,1,1,1,27,26,19,18,26
3,30,4,4,1,4,4,15,30,15,4,14,15,19,4
11,1,12,12,7,12,12,1,1,1,12,12,1,17,12
13,4,14,14,9,14,14,28,1,6,14,14,1,28,14
7,1,8,8,4,8,8,1,1,1,8,8,1,24,8
26,15,26,26,21,26,26,1,1,15,27,26,3,1,26
13,25,14,14,19,24,24,26,1,25,14,1,1,3,14
1,18,3,3,12,3,3,1,1,18,3,3,18,1,3
13,1,14,14,18,14,23,1,1,1,14,21,1,24,14
28,30,24,28,19,28,24,16,1,25,29,1,29,16,24
1,1,30,30,1,30,30,1,1,1,31,8,9,1,30
18,6,19,19,14,19,19,1,6,10,19,19,6,1,19
13,28,14,14,9,14,14,1,1,28,14,14,1,18,14
26,1,26,26,21,26,26,1,1,1,27,26,15,6,26
10,12,3,3,1,11,11,18,18,3,11,1,3,1,11
16,1,17,17,12,17,17,1,1,1,17,1,1,24,17
18,1,19,19,14,19,19,1,1,1,19,19,1,6,19
7,6,8,8,4,8,8,1,1,6,8,8,6,1,8
19,1,1,20,1,20,20,1,1,1,1,1,1,13,20
13,36,14,14,9,14,14,19,36,19,14,1,3,22,14
13,16,14,14,1,14,15,1,1,16,14,1,16,1,14
28,1,1,28,22,28,28,1,1,1,1,28,1,4,28
1,15,24,24,19,24,24,1,15,25,1,1,1,15,24
1,1,20,20,15,20,20,1,1,1,20,20,15,1,20
23,1,24,24,1,24,24,1,1,1,24,24,15,1,24
1,22,1,21,18,21,21,1,1,1,21,21,24,6,21
16,1,17,17,12,17,17,1,1,1,17,1,1,3,17
23,15,24,24,19,24,24,1,1,15,24,24,1,15,24
2,1,3,3,1,3,14,1,1,1,3,21,15,1,3
10,18,11,11,12,11,17,13,18,13,11,11,18,13,11
19,9,20,20,15,20,20,33,33,9,20,1,27,25,20
13,1,14,14,9,14,14,1,1,1,14,1,15,6,1
1,3,21,21,16,21,21,1,1,3,21,21,1,3,21
1,1,17,17,12,17,17,1,1,1,17,1,22,3,17
12,4,13,13,8,13,13,15,15,4,13,13,6,9,13
23,1,24,24,19,24,24,1,1,1,24,24,1,3,24
29,36,29,29,1,29,29,6,8,36,30,29,35,12,29
7,23,8,8,1,8,8,32,29,6,8,1,9,29,1
14,1,15,15,1,15,15,1,1,1,15,15,1,3,15
16,22,17,17,12,21,17,13,13,22,17,17,22,13,17
1,19,28,18,22,28,28,25,25,19,29,18,19,1,28
1,15,8,14,1,8,30,1,1,15,8,1,15,32,8
1,5,6,6,1,16,30,1,20,5,6,5,5,1,6
16,18,3,17,12,3,3,15,1,18,3,1,18,22,3
7,32,8,8,4,8,8,1,1,1,8,8,1,29,8
1,20,5,5,1,2,5,1,1,1,5,5,1,15,5
1,21,8,8,4,8,8,33,1,1,8,8,1,3,8
2,22,11,3,16,21,3,18,3,22,11,11,3,12,21
13,1,14,14,21,26,26,1,1,1,14,14,1,28,14
1,6,12,12,7,12,12,31,6,31,12,12,1,6,12
30,9,30,30,1,8,30,1,1,9,31,8,9,1,30
16,12,17,17,12,17,17,1,22,12,17,17,1,8,17
13,4,8,8,4,8,8,20,21,20,8,8,1,15,8
11,1,12,12,7,12,12,1,1,1,12,12,1,3,12
1,16,14,14,9,14,14,1,1,6,14,14,24,1,14
26,1,26,26,21,26,26,1,1,1,27,1,1,4,26
30,1,30,30,1,30,30,1,1,1,31,30,1,9,30
16,1,17,17,12,17,17,1,1,1,17,17,1,3,17
31,1,31,31,1,31,31,1,1,1,32,31,1,9,31
26,16,26,26,21,26,26,15,15,16,27,1,16,23,26
16,3,17,3,12,17,15,1,1,3,17,17,3,1,17
1,19,26,26,21,26,26,15,1,1,27,26,15,1,26
8,10,5,9,1,5,15,25,21,25,5,5,10,5,31
20,1,21,21,6,12,21,1,1,1,21,21,1,28,21
26,1,26,26,21,26,26,1,1,1,27,26,1,15,26
18,21,19,19,1,19,19,1,1,1,19,1,1,15,19
13,19,14,14,1,14,24,4,1,19,14,1,25,19,14
13,1,14,14,9,14,14,1,1,1,14,1,1,3,14
13,1,14,14,9,14,1,1,1,1,14,1,6,1,14
1,1,8,8,4,8,8,1,1,1,8,1,1,18,8
26,1,26,26,21,26,26,1,1,1,27,26,1,3,26
18,21,19,19,14,19,19,1,1,21,19,19,25,1,19
16,33,17,31,25,31,31,21,1,1,17,1,18,1,31
7,9,4,8,1,8,4,1,30,9,4,8,4,22,8
22,1,23,23,1,23,31,1,1,1,23,1,1,15,23
7,1,8,8,4,8,8,1,1,1,8,8,1,6,8
29,16,29,29,23,29,29,23,15,16,30,29,1,3,29
16,18,3,3,18,14,3,24,24,3,17,17,18,15,3
1,22,3,3,16,21,3,6,18,22,3,3,22,1,3
29,33,29,29,23,29,29,21,1,1,1,29,15,1,29
26,1,26,26,21,26,26,1,1,1,27,26,3,1,26
1,19,26,26,1,26,20,24,22,19,27,26,21,36,26
26,1,26,26,21,26,26,1,1,1,27,26,15,6,26
16,12,17,17,12,17,17,3,3,12,17,1,1,3,17
13,1,14,14,1,14,14,1,1,1,14,1,15,12,1
1,1,1,26,21,26,26,1,1,1,27,26,15,1,26
23,16,24,24,1,24,24,15,16,15,24,1,1,15,24
26,18,26,26,21,26,23,3,18,1,27,26,24,1,26
7,24,8,8,4,8,8,1,1,1,8,8,3,1,8
7,4,8,8,4,8,8,1,1,4,8,8,1,3,8
29,8,29,29,23,29,29,1,1,8,30,29,1,15,29
1,1,26,26,21,26,26,1,1,1,27,26,19,3,26
11,1,12,12,7,12,12,1,1,1,12,12,8,1,12
26,24,26,26,21,26,26,12,1,1,27,1,15,13,26
29,1,29,29,23,29,29,1,1,1,30,29,1,6,29
1,1,17,17,12,17,17,1,1,1,17,1,1,3,17
20,28,21,21,21,26,26,1,1,28,21,21,27,1,21
25,20,25,6,1,25,2,6,20,27,6,16,6,13,25
26,1,26,26,1,26,26,1,1,1,27,26,6,1,26
16,22,17,17,12,17,17,1,1,22,17,1,22,1,17
12,1,13,13,8,13,13,1,1,1,13,13,1,15,13
26,1,26,26,21,26,26,1,1,1,27,26,1,3,26
29,1,29,29,23,29,29,1,1,1,30,29,1,15,29
20,28,21,21,21,21,21,15,28,15,21,21,15,1,21
26,1,1,26,21,26,26,1,1,1,27,26,1,3,26
30,24,30,30,1,30,30,20,1,1,31,1,24,9,30
26,1,26,26,21,26,26,1,1,1,27,1,15,22,26
7,32,8,30,1,8,30,1,1,32,8,8,31,1,8
13,1,14,14,9,14,14,1,1,1,14,1,1,13,14
16,1,17,17,12,17,17,24,24,21,17,17,3,1,17
23,16,24,24,19,24,21,15,16,15,24,24,1,16,24
7,1,8,8,4,8,8,1,1,1,8,8,1,15,8
26,22,26,26,21,26,26,1,1,22,27,1,1,3,26
31,30,31,31,22,31,28,9,1,30,32,1,32,15,28
1,36,29,29,23,33,29,1,8,36,30,29,35,9,29
22,23,23,23,18,23,23,25,1,1,23,1,23,1,23
29,1,29,29,23,29,29,1,1,1,30,1,1,3,29
19,18,20,17,15,17,20,12,1,18,2,1,18,3,20
31,9,31,31,25,31,31,27,27,9,32,31,9,1,31
17,19,21,18,13,21,21,1,12,19,21,1,19,3,21
2,3,17,3,6,15,3,12,12,3,17,1,3,1,17
7,1,8,8,1,8,8,1,1,1,8,1,1,4,8
2,3,8,3,1,3,8,22,22,3,8,3,3,6,8
16,1,17,17,12,17,17,1,1,1,17,17,1,3,17
1,21,12,12,1,12,12,1,1,21,12,12,1,6,12
1,1,17,17,12,17,17,1,1,1,17,17,1,3,17
7,9,31,3,1,12,8,32,27,9,32,3,9,3,31
13,28,14,14,21,14,14,1,1,28,14,1,27,1,14
12,33,13,13,8,13,13,1,1,33,13,13,1,3,13
1,1,21,21,16,21,21,1,1,1,21,21,1,18,21
13,1,14,14,9,14,14,1,1,1,14,14,1,3,14
26,1,26,26,21,26,26,1,1,1,27,26,24,3,26
13,28,14,14,1,14,18,1,1,6,14,1,19,36,14
13,24,14,14,1,14,14,25,24,25,14,1,15,24,1
28,1,28,28,1,28,28,1,1,1,29,1,1,15,28
7,1,8,8,1,8,20,1,1,1,8,8,1,3,8
1,5,13,13,8,13,13,33,1,1,13,13,1,28,13
13,24,14,14,18,14,14,25,19,24,14,14,15,3,1
1,13,30,30,1,30,30,1,1,1,31,1,3,22,30
26,1,26,26,21,26,26,1,1,1,27,26,1,22,26
1,1,21,21,16,21,21,1,1,1,21,21,1,19,21
13,1,14,14,18,14,14,1,1,1,14,14,1,24,14
18,15,19,19,1,19,19,6,15,6,19,19,15,6,19
13,1,14,14,9,14,14,1,1,1,14,14,15,6,1
7,1,8,8,4,8,8,1,1,1,8,1,1,22,8
14,1,15,15,10,15,15,1,1,1,15,15,1,6,15
14,16,14,14,1,14,15,1,1,16,14,14,22,16,14
13,16,14,14,9,14,14,1,1,6,14,1,15,16,1
13,1,14,14,9,14,14,1,1,1,14,14,1,3,14
18,10,19,19,14,19,19,1,1,10,19,1,1,15,19
1,1,14,14,9,14,14,1,1,15,1,14,1,3,14
13,16,14,14,10,14,15,1,1,16,14,1,16,25,14
16,1,17,17,12,17,17,1,1,1,17,1,1,12,17
19,1,20,20,15,20,20,1,1,1,20,20,18,25,20
1,1,17,17,12,17,17,1,1,3,17,17,3,22,17
26,28,3,26,1,17,26,12,22,28,3,26,18,3,26
1,28,14,24,19,14,14,1,1,28,14,1,15,9,24
13,1,14,14,1,14,14,1,1,1,14,14,1,30,14
2,28,3,3,1,3,3,25,22,25,3,3,1,15,3
12,14,6,6,8,6,6,20,20,14,6,6,1,14,6
26,15,26,26,21,26,26,1,1,15,27,26,15,1,26
31,9,31,31,25,31,31,1,1,1,32,1,26,21,31
1,1,16,16,15,20,20,1,1,1,16,16,1,21,16
2,12,3,3,1,3,3,1,18,12,3,1,12,1,3
13,16,14,14,21,14,26,22,1,1,14,14,27,3,14
1,1,14,14,9,14,14,1,1,1,14,1,1,25,14
26,1,26,26,21,26,26,1,1,1,27,1,9,1,26
14,4,15,15,10,15,15,1,1,1,15,15,1,15,15
22,19,23,23,1,23,23,1,1,2,23,23,1,3,23
29,8,29,29,23,29,29,1,1,8,30,1,1,15,29
7,1,8,8,4,8,8,1,1,1,8,8,1,15,8
7,1,8,8,4,8,8,1,1,1,8,8,1,15,8
4,1,14,14,9,14,14,1,1,1,14,14,1,3,14
1,1,4,4,2,4,4,1,30,16,4,6,1,3,4
7,9,17,8,4,8,17,3,3,9,17,17,18,3,8
22,1,23,23,1,23,23,1,1,1,23,23,15,1,23
7,15,21,21,1,8,14,32,32,9,14,14,9,22,14
1,1,24,24,19,24,24,1,1,1,24,24,1,28,24
13,6,14,18,1,14,18,19,25,6,18,14,6,19,14
31,33,14,14,1,14,31,1,1,6,14,14,32,1,14
13,35,14,14,9,14,14,1,1,1,14,14,15,3,1
26,1,26,26,21,26,26,1,1,1,27,1,1,3,26
26,1,26,26,1,26,26,1,1,1,27,1,1,6,26
2,12,3,3,6,3,9,1,1,1,3,3,12,24,3
20,1,21,21,16,21,21,1,1,1,21,21,1,3,21
7,1,8,8,1,8,8,1,1,1,8,8,1,18,8
1,27,31,31,20,31,25,1,1,27,32,31,26,1,31
31,1,31,31,1,31,31,1,1,1,32,1,1,6,31
26,1,26,26,21,26,26,1,1,1,27,26,19,3,26
13,15,26,26,9,14,26,1,1,1,27,26,15,1,26
1,24,21,21,18,21,21,3,12,24,21,1,22,24,1
26,1,26,26,21,26,26,1,1,1,27,1,22,3,26
13,1,14,14,9,14,14,1,1,1,14,14,1,22,14
1,1,17,17,12,17,17,1,1,12,17,1,1,22,17
30,32,3,3,1,3,3,18,18,32,3,3,31,1,3
1,1,26,26,21,26,26,1,1,1,27,26,6,1,26
31,28,31,31,21,31,31,1,1,28,32,1,27,15,31
13,1,14,14,9,14,14,1,1,1,14,14,1,6,14
26,30,26,26,21,26,4,25,25,30,27,1,29,4,26
18,1,1,19,14,19,19,1,1,1,19,19,1,3,19
7,1,8,8,4,17,8,1,1,1,8,8,18,1,8
29,6,29,11,23,29,29,20,1,1,30,1,6,1,29
22,23,23,23,18,23,23,1,1,2,23,23,15,3,23
2,18,3,3,4,3,3,1,1,18,3,17,9,1,3
20,1,21,21,16,21,21,1,1,19,21,21,1,3,21
1,36,7,7,1,7,7,1,1,36,7,7,35,6,7
1,24,20,20,15,20,20,1,1,24,20,20,1,15,20
26,1,26,26,21,26,26,1,1,1,27,26,29,3,26
13,19,14,14,1,14,18,1,1,1,14,14,19,1,14
1,1,29,29,23,29,29,1,1,1,30,34,27,1,29
17,3,18,18,13,18,18,25,22,6,18,18,32,12,18
1,1,29,29,23,29,29,1,1,1,30,29,1,28,29
4,6,19,6,14,19,19,1,1,6,19,19,6,1,19
20,1,21,21,1,21,21,1,1,1,21,21,1,3,21
7,9,30,8,4,30,17,1,1,32,8,8,9,21,30
29,1,29,29,23,29,29,1,1,1,30,29,1,3,29
29,8,29,29,23,26,29,20,1,1,30,29,1,15,29
20,1,21,21,16,21,21,1,1,1,21,21,1,3,21
13,1,14,14,9,14,14,1,1,1,14,14,1,3,14
12,9,13,13,1,6,13,24,25,9,13,13,6,1,13
1,18,3,3,1,31,31,1,1,18,3,1,32,3,8
13,32,14,14,1,14,30,24,1,6,14,14,15,32,1
13,19,14,14,13,31,14,16,16,19,14,14,19,1,14
30,9,30,30,1,30,21,1,1,9,31,30,6,22,30
20,3,21,21,16,31,21,35,22,3,34,21,1,3,21
11,1,12,12,7,12,12,1,1,1,12,1,1,22,12
14,15,15,15,10,15,15,1,1,1,15,15,15,1,15
4,6,33,6,27,33,33,1,1,36,6,1,6,1,33
13,1,14,14,9,14,14,1,1,1,14,1,15,6,1
4,1,19,19,14,19,19,1,1,1,19,19,1,36,19
1,3,21,21,16,21,21,18,3,18,21,21,1,3,21
1,36,1,33,1,11,33,1,1,1,35,1,12,1,33
16,18,23,23,18,23,23,1,1,2,23,1,27,18,23
16,13,17,17,12,17,17,12,1,2,17,1,12,13,17
31,14,31,31,25,31,31,1,1,1,32,31,1,15,31
31,33,3,31,25,31,31,21,21,33,3,3,32,15,3
7,1,8,8,4,8,8,1,1,1,8,8,1,6,8
13,1,14,14,1,14,14,1,1,1,14,14,18,9,14
4,18,33,33,27,33,33,16,25,16,35,34,16,18,33
17,18,18,18,13,18,18,22,1,1,18,18,18,1,18
20,1,21,21,11,21,16,1,1,1,21,21,12,17,21
1,1,14,30,9,14,14,1,1,32,14,14,1,32,14
1,1,5,5,27,5,5,1,1,1,5,5,1,15,5
6,31,7,7,3,7,7,1,1,31,7,7,1,30,7
13,1,17,17,12,14,14,1,13,12,17,17,15,1,17
16,22,17,17,12,17,17,1,1,22,17,17,3,1,17
2,13,3,3,7,3,3,1,18,13,3,3,1,13,3
16,1,17,17,12,17,17,1,1,12,17,17,1,15,17
7,4,8,8,4,8,8,1,1,4,8,8,1,15,8
1,1,14,14,9,14,14,1,1,1,14,14,1,22,14
1,35,14,14,18,14,28,30,1,6,14,14,24,30,14
18,6,19,19,14,6,19,10,6,20,1,19,1,6,19
30,18,30,30,1,14,30,12,1,1,31,11,9,18,30
30,9,30,30,1,30,13,1,1,1,31,30,1,14,30
19,15,20,20,15,20,20,35,15,35,20,20,3,1,20
10,17,11,11,11,11,16,27,21,17,11,11,17,1,11
22,1,23,23,18,23,23,1,15,1,23,23,4,15,23
26,24,17,23,18,23,23,21,1,24,2,17,18,1,23
26,1,14,14,21,26,14,1,1,1,14,14,27,3,14
13,25,14,14,19,14,14,19,1,25,14,14,25,1,14
11,22,12,12,7,12,12,18,22,18,12,1,1,6,12
16,1,17,17,12,17,17,1,1,1,17,17,1,6,17
1,31,6,6,1,29,6,20,1,20,6,19,1,20,6
1,1,24,24,19,24,24,1,1,1,24,24,1,16,24
13,1,14,14,9,14,14,1,1,1,14,14,1,3,14
1,33,10,2,5,10,17,1,1,1,1,10,15,33,10
26,15,26,26,21,26,26,1,1,1,27,26,3,15,26
11,1,12,12,7,12,12,1,1,1,12,1,1,24,12
21,1,22,22,1,22,22,1,1,1,22,22,1,22,22
16,1,17,17,12,17,17,1,1,1,17,17,1,3,17
18,31,19,19,1,19,19,1,1,31,19,19,1,6,19
2,1,3,3,1,3,3,1,1,1,3,3,1,6,3
27,1,14,14,9,14,14,1,1,1,14,14,1,3,14
26,1,26,26,21,17,26,1,1,1,27,1,15,3,26
26,1,1,26,21,26,26,1,1,1,27,26,1,15,26
16,3,17,17,12,17,17,1,1,3,17,17,1,6,17
7,1,8,8,4,8,8,1,1,1,8,8,1,3,8
1,1,21,21,1,8,21,1,1,1,21,21,15,1,21
22,15,23,23,18,23,23,1,25,15,23,23,15,1,23
14,1,15,15,1,15,15,1,1,1,15,15,1,4,15
30,1,30,30,1,8,8,1,1,1,31,30,9,3,30
30,3,30,30,1,30,8,9,3,9,31,30,1,9,30
22,1,23,23,18,23,23,1,1,1,23,23,1,3,23
1,1,17,17,12,17,17,1,1,3,17,17,22,3,17
26,18,26,26,21,26,26,3,22,18,27,26,18,1,26
3,1,4,4,1,4,4,1,1,1,4,4,1,9,4
16,12,17,17,6,17,11,1,1,1,17,1,12,13,17
16,1,17,17,12,17,17,1,1,1,17,17,3,1,17
23,25,6,24,19,6,24,19,21,25,6,6,6,1,24
2,1,26,26,1,21,26,1,1,1,27,26,22,3,26
16,1,17,17,12,17,17,1,1,1,17,17,1,27,17
3,1,4,4,2,4,4,1,1,1,4,4,1,3,4
16,1,17,17,12,17,21,1,1,1,17,1,12,22,17
20,19,21,21,1,21,21,1,1,1,21,21,1,19,21
26,1,26,26,21,26,26,1,1,1,27,26,18,22,26
1,6,26,26,21,26,26,20,1,1,27,26,10,1,26
16,15,17,17,12,18,17,16,16,15,17,17,19,15,17
1,1,17,17,12,17,17,1,1,1,17,17,1,6,17
20,31,21,21,6,11,21,18,1,12,21,21,12,28,21
23,15,24,14,1,24,24,1,1,25,14,24,15,9,24
1,1,21,21,16,21,21,1,1,1,21,21,1,3,21
11,13,6,6,7,12,6,20,20,13,6,6,13,1,6
1,3,26,26,21,26,26,22,1,3,27,26,15,16,26
23,15,24,24,19,24,14,1,1,1,24,24,15,1,24
16,20,12,12,14,12,19,12,12,20,12,19,12,20,12
26,3,26,26,21,26,26,15,1,3,27,26,15,6,26
4,1,17,17,12,17,17,1,1,1,17,1,6,20,17
2,19,3,3,13,21,3,1,22,19,3,1,19,22,3
13,24,14,14,1,14,14,1,24,6,14,14,1,25,14
26,1,26,26,21,26,26,1,1,1,27,1,1,3,26
26,1,26,26,21,26,26,1,1,1,27,1,3,1,26
19,1,20,20,15,20,20,1,1,1,20,20,15,22,20
10,26,11,11,6,11,11,1,1,1,11,1,1,3,11
1,18,3,3,15,3,20,21,24,18,3,6,21,1,3
29,6,29,29,1,29,29,20,20,6,30,29,1,8,29
22,1,23,23,18,23,23,1,1,1,23,1,1,28,23
13,14,14,14,1,14,25,3,1,6,14,1,1,14,14
3,1,4,4,1,4,4,1,1,9,4,8,1,6,4
19,25,20,20,15,20,20,24,1,1,20,1,1,25,20
10,21,3,3,6,3,3,22,21,18,3,3,1,12,3
14,1,15,15,1,15,15,1,1,1,15,15,1,6,15
7,32,8,8,1,8,8,1,1,32,8,8,1,22,8
29,1,29,29,23,29,29,1,1,1,1,29,1,15,29
13,16,14,14,9,14,14,18,16,18,14,1,1,18,14
13,1,14,14,9,14,14,1,1,1,14,1,15,3,1
3,31,4,4,2,4,4,1,1,1,1,1,1,9,4
1,1,1,26,21,26,26,1,1,1,27,26,1,3,26
17,13,18,18,13,18,17,1,24,13,18,1,6,1,18
20,1,21,21,1,21,18,1,1,1,21,21,19,1,21
1,1,26,26,21,26,26,1,1,1,27,26,19,3,26
7,33,8,8,4,8,8,32,1,4,8,8,3,6,8
11,20,12,12,7,12,12,1,1,20,12,1,1,6,12
16,18,21,12,19,17,17,25,25,18,21,1,22,18,12
26,1,26,26,21,26,26,1,1,1,27,26,1,3,26
1,1,12,12,7,12,12,1,1,1,12,12,1,21,12
10,1,11,11,6,11,11,1,1,1,11,11,6,1,11
13,1,14,14,9,14,14,1,1,1,14,1,1,3,14
20,3,21,21,16,21,21,1,1,1,21,1,1,3,21
7,1,8,8,4,8,8,1,1,1,8,8,1,3,8
13,1,14,14,9,14,14,1,1,1,14,14,15,3,1
30,1,30,30,1,30,30,1,1,1,31,1,1,22,30
13,1,14,14,19,14,14,1,1,1,14,14,1,25,14
2,24,3,3,21,3,3,12,18,24,3,6,24,19,3
13,1,14,14,9,14,14,1,1,1,14,1,1,18,14
4,21,6,6,15,6,6,20,20,21,6,6,21,20,6
23,1,24,24,19,24,24,1,1,15,24,1,1,6,24
12,6,13,13,1,13,13,20,20,6,13,13,6,13,13
7,1,8,8,4,8,8,1,1,1,8,8,4,1,8
20,1,21,21,16,21,21,1,1,1,21,21,19,1,21
11,1,12,12,7,12,12,1,1,1,12,12,1,6,12
19,1,20,20,15,2,20,1,1,1,20,20,6,15,20
11,18,12,12,7,12,12,12,12,18,12,12,12,18,12
20,1,21,21,16,21,21,1,1,1,1,21,1,15,21
26,3,26,26,21,26,26,22,22,3,27,1,6,3,26
1,36,12,12,27,12,33,31,31,36,12,12,35,1,12
26,1,26,26,21,26,26,1,1,1,27,1,15,1,26
1,1,14,14,1,14,14,1,1,1,14,1,1,22,14
1,16,14,14,1,18,18,19,35,6,14,1,19,16,14
16,3,17,17,12,17,17,1,1,3,17,17,3,24,17
3,1,4,4,1,4,4,1,1,1,4,4,1,29,4
1,3,21,21,16,21,21,1,1,3,21,21,3,1,21
13,21,14,14,1,14,23,6,24,21,14,14,1,24,14
13,1,14,14,9,14,14,1,1,1,14,14,1,32,14
7,1,8,8,4,8,8,1,1,1,8,8,1,22,8
10,1,29,11,6,11,11,1,1,1,11,1,1,15,11
16,22,17,17,12,17,17,1,3,22,17,17,1,3,17
7,25,8,8,19,8,24,32,1,1,8,8,25,15,8
20,1,21,21,16,21,21,1,1,1,21,1,1,3,21
20,1,21,21,16,21,21,1,1,1,21,21,1,3,21
3,1,4,4,2,4,4,1,1,1,4,4,1,15,4
1,30,14,14,9,14,14,1,1,26,14,1,1,16,14
26,1,26,26,21,26,26,1,1,1,27,1,1,16,26
26,1,26,26,1,26,3,1,1,1,27,26,3,1,26
13,1,14,14,9,14,14,1,1,1,14,14,1,3,14
13,25,14,14,19,14,24,1,1,6,14,1,25,1,14
1,18,14,14,9,17,14,22,1,6,14,1,18,1,14
1,6,12,12,7,21,21,20,20,6,12,1,21,1,12
13,1,14,14,9,14,14,1,1,1,14,1,1,3,14
7,32,8,8,4,8,26,1,1,32,8,8,1,15,8
22,1,23,23,18,23,23,1,1,1,23,1,1,30,23
29,1,1,29,23,29,29,1,1,1,30,29,1,16,29
23,23,24,17,19,17,24,1,1,23,24,24,6,18,24
10,12,3,3,1,11,11,20,18,12,3,3,12,20,3
17,15,18,18,1,18,14,1,1,1,18,14,15,1,18
13,1,14,14,9,14,14,1,1,1,14,1,1,3,14
1,1,8,8,1,21,8,1,1,1,8,1,3,12,8
1,1,26,26,21,26,26,1,1,1,27,26,1,15,26
23,1,24,18,1,14,18,19,19,1,24,24,15,13,24
7,1,8,8,4,8,8,1,1,1,8,1,1,15,8
7,1,8,8,4,8,8,1,1,1,8,8,1,15,8
31,1,31,31,25,31,31,1,1,1,32,1,1,6,31
4,15,23,23,18,13,23,18,1,2,23,23,21,1,23
23,15,24,24,19,24,14,1,1,15,24,1,15,4,24
10,1,11,11,6,11,11,1,1,1,11,11,18,3,11
2,6,3,3,6,3,3,12,1,6,3,3,1,6,3
26,12,26,26,21,26,26,1,1,12,27,1,15,12,26
1,19,21,21,6,21,21,12,19,12,21,1,1,12,21
